'127.0.0.1',00:00:05,1,1,1586.464,0.012,0,1586.464
'127.0.0.1',00:00:10,1,3,562.523,0.004,0,1687.568
'127.0.0.1',00:00:15,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:20,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:25,1,5,465.368,0.010,0,1163.420
'127.0.0.1',00:00:30,1,8,472.938,0.016,8,3783.507
'127.0.0.1',00:00:35,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:40,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:45,1,2,482.409,0.012,0,964.818
'127.0.0.1',00:00:50,1,6,250.025,0.019,0,750.074
'127.0.0.1',00:00:55,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:00,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:01,0,1,816.995,0.000,0,816.995
