'127.0.0.1',00:00:05,1,4,437.922,0.016,0,1751.687
'127.0.0.1',00:00:10,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:15,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:20,1,1,844.740,0.000,0,844.740
'127.0.0.1',00:00:25,1,12,427.564,0.025,8,5130.768
'127.0.0.1',00:00:30,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:35,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:40,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:45,1,8,329.898,0.032,0,1319.594
'127.0.0.1',00:00:50,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:55,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:58,0,1,839.142,0.000,0,839.142
