'127.0.0.1',00:00:05,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:10,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:15,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:20,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:25,0,2,677.121,0.004,2,1354.241
'127.0.0.1',00:00:30,0,4,671.065,0.008,4,2684.259
'127.0.0.1',00:00:35,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:40,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:45,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:50,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:55,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:00,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:05,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:10,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:15,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:20,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:25,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:30,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:35,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:40,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:45,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:50,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:55,0,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:56,0,4,1277.751,0.016,0,5111.005
