loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,1,5,257.885,0.038,2,1289.426
'',00:00:05,0,1,1043.309,0.002,0,1043.309
