loadgenname,scenariotime,usercount,hitcount,avgrequestresponse,avgthroughput,errorcount,avgpageresponse
'',00:00:05,1,0,0.000,0.000,0,0.000
'',00:00:09,1,5,1808.312,0.038,2,9041.560
