'127.0.0.1',00:00:05,1,4,433.570,0.016,0,1734.278
'127.0.0.1',00:00:10,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:15,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:20,1,1,829.294,0.000,0,829.294
'127.0.0.1',00:00:25,1,12,412.932,0.025,8,4955.190
'127.0.0.1',00:00:30,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:35,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:40,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:45,1,8,292.062,0.031,0,1168.247
'127.0.0.1',00:00:50,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:00:55,1,0,0.000,0.000,0,0.000
'127.0.0.1',00:01:00,1,1,843.224,0.000,0,843.224
